Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S122972420,Grey-hooded Warbler,Phylloscopus xanthoschistos,24983,2,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,S,5,
S122972420,Whiskered Yuhina,Yuhina flavicollis,25529,9,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,S,5,
S122972420,Chestnut-tailed Minla (Bar-throated Siva),Actinodura strigula,26547,3,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,S,5,
S122972420,Red-tailed Minla,Minla ignotincta,26584,4,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,S,5,
S122972420,Fire-breasted Flowerpecker,Dicaeum ignipectus,30090,2,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,H,5,
S122972420,Little Bunting,Emberiza pusilla,32830,4,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,S,5,
S122972423,green-pigeon sp.,Treron sp.,2584,2,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,S,5,
S122972423,Great Barbet,Psilopogon virens,10721,3,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,"S, H",5,
S122972423,Ashy Drongo,Dicrurus leucophaeus,20442,2,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,H,5,
S122972423,Himalayan Black Bulbul,Hypsipetes leucocephalus,24591,7,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,S,5,
